,topic,function_low,function_high
0,family snapshots,0.12,0.32
1,cutlery,0.39,0.52
2,family,0.63,0.48
3,place where eating dinner,0.03,0.17
4,plate of food,0.33,0.47
5,table with food,0.09,0.04
6,get water,0.07,0.02
7,stove/hob,0.24,0.47
8,light source in kitchen,0.12,0.33
9,drinking water,0.08,0.17
10,kitchen sink,0.06,0.45
11,bathroom privacy,0.03,0.14
12,backyard,0.05,0.39
13,front door,0.3,0.6
14,home,0.01,0.01
15,source of cool,0.28,0.4
16,street view,0.09,0.22
17,teeth,0.0,0.0
18,hand back,0.01,0.06
19,hand palm,0.62,0.77
20,pet,0.02,0.05
21,bedroom,0.06,0.13
22,grains,0.41,0.31
23,wardrobe,0.06,0.25
24,armchair,0.24,0.41
25,hallway,0.09,0.15
26,kitchen,0.24,0.54
27,books,0.04,0.04
28,everyday shoes,0.56,0.4
29,hand washing,0.12,0.5
30,trash/waste,0.06,0.1
31,tools,0.13,0.16
32,hair brush/comb,0.54,0.6
33,street detail,0.14,0.41
34,soap for hands and body,0.27,0.29
35,shampoo,0.14,0.27
36,vegetable plot,0.14,0.54
37,roof,0.1,0.03
38,toilet,0.24,0.3
39,spices,0.19,0.34
40,salt,0.16,0.21
41,jewelry,0.11,0.22
42,cooking utensils,0.2,0.32
43,dish washing brush/cloth,0.05,0.25
44,cooking pots,0.34,0.26
45,plates,0.19,0.1
46,cups/mugs/glasses,0.12,0.27
47,wall,0.03,0.03
48,cattle,0.11,0.0
49,ceiling,0.09,0.37
50,bed,0.08,0.29
51,storage room,0.03,0.14
52,refrigerator,0.15,0.13
53,floor,0.26,0.27
54,wall inside,0.23,0.19
55,tooth paste,0.14,0.31
56,toothbrush,0.15,0.27
57,goats,0.61,1.0
58,cleaning equipment,0.17,0.17
59,cleaning after toilet,0.03,0.03
60,visit,0.1,0.04
61,hand open to closed,0.0,0.04
62,brushing teeth,0.14,0.36
63,using toilet,0.0,0.0
64,doing dishes,0.02,0.16
65,pouring drinking water,0.08,0.08
66,pouring water,0.05,0.27
67,starting stove,0.11,0.3
68,cooking,0.08,0.02
69,preparing food,0.0,0.0
70,shoes,0.04,0.11
71,washing hands,0.06,0.43
72,walking to get water,0.23,0.0
73,washing clothes/cleaning,0.08,0.24
74,eating,0.0,0.02
75,family eating,0.42,0.28
76,vegetables,0.42,0.62
77,smoke and steam exit,0.02,0.04
78,fruits and vegetables,0.22,0.48
79,toys,0.04,0.1
80,nicest shoes,0.44,0.66
81,mosquito protection,0.0,0.04
82,wall decoration,0.03,0.21
83,living room,0.08,0.45
84,fruit trees,0.0,0.0
85,toilet paper,0.08,0.33
86,bathroom/toilet,0.03,0.01
87,shaving,0.03,0.1
88,lock on front door,0.49,0.77
89,couch,0.18,0.17
90,sofa,0.12,0.09
91,knifes,0.17,0.22
92,dish racks,0.1,0.44
93,play area,0.01,0.1
94,place where serving guests,0.07,0.28
95,photo guide images,0.0,0.0
96,agriculture land,0.34,0.0
97,sitting area,0.11,0.25
98,bed kids,0.25,0.14
99,drying,0.0,0.0
100,water outlet,0.01,0.06
101,drainage,0.23,0.08
102,shower,0.05,0.03
103,house overview,0.0,0.0
104,socializing,0.05,0.12
105,playing,0.01,0.02
106,kids playing outside,0.24,0.22
107,chopping food,0.04,0.19
108,chickens,0.58,0.55
109,bike,0.0,0.0
110,source of heat,0.19,0.26
111,phone,0.24,0.15
112,work area,0.0,0.0
113,children room,0.07,0.31
114,light source in livingroom,0.12,0.47
115,washing detergent,0.06,0.3
116,medication,0.08,0.06
117,dish washing soap,0.17,0.55
118,turning lights on and off,0.05,0.19
119,source of light,0.08,0.23
120,wall clock,0.64,0.8
121,guest bed,0.17,0.12
122,diapers (or baby-pants),0.14,0.03
123,switch on/off,0.29,0.46
124,pen/pencils,0.49,0.61
125,paper,0.19,0.32
